"ID","Number of references","Number of references outside selected database","Number of self-cited references","List ID of references","Title","Authors","Source title","Publisher","Year","Link"
"2556","35","35","0","","Interfacial thermal transport properties of polyurethane/carbon nanotube hybrid composites","Qiu L., Zhu N., Feng Y., Zhang X., Wang X.","International Journal of Heat and Mass Transfer","Elsevier Ltd","2020","10.1016/j.ijheatmasstransfer.2020.119565"
"2557","52","52","0","","Interlaminar stress analysis of multilayered composites based on the Hu-Washizu variational theorem","Zhen W., Wanji C.","Journal of Composite Materials","SAGE Publications Ltd","2018","10.1177/0021998317733532"
"2558","47","47","0","","Interlayer equilibrium between graphitic nanostructures using continuum modeling approaches","Yan J.W., Ye B., Xiang P., Wang H.P.","Applied Mathematical Modelling","Elsevier Inc.","2020","10.1016/j.apm.2019.09.028"
"2559","43","42","1","2401","Internal energy change and activation energy effects on Casson fluid","Salahuddin T., Siddique N., Arshad M., Tlili I.","AIP Advances","American Institute of Physics Inc.","2020","10.1063/1.5140349"
"2560","27","27","0","","Internal model controller based PID with fractional filter design for a nonlinear process","Hemavathy P.R., Mohamed Shuaib Y., Lakshmanaprabu S.K.","International Journal of Electrical and Computer Engineering","Institute of Advanced Engineering and Science","2020","10.11591/ijece.v10i1.pp243-254"
"2561","85","84","1","2493","Interphase effect on the controlled frequency response of three-phase smart magneto-electro-elastic plates embedded with active constrained layer damping: FE study","Vinyas M.","Materials Research Express","Institute of Physics Publishing","2019","10.1088/2053-1591/ab6649"
"2562","50","49","1","4835","Interpolatory Catmull-Clark volumetric subdivision over unstructured hexahedral meshes for modeling and simulation applications","Xie J., Xu J., Dong Z., Xu G., Deng C., Mourrain B., Zhang Y.J.","Computer Aided Geometric Design","Elsevier B.V.","2020","10.1016/j.cagd.2020.101867"
"2563","64","64","0","","Interpreting stochastic agent-based models of cell death","Lejeune E., Linder C.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112700"
"2564","73","73","0","","Intrinsic carrier mobility of monolayer GeS and GeSe: First-principles calculation","Yang M., Cao S., You Q., Shi L.-B., Qian P.","Physica E: Low-Dimensional Systems and Nanostructures","Elsevier B.V.","2020","10.1016/j.physe.2019.113877"
"2565","64","64","0","","Introducing revolute joints into piezoelectric energy harvesters","Li Z., Yang Z., Naguib H.E.","Energy","Elsevier Ltd","2020","10.1016/j.energy.2019.116604"
"2566","40","37","3","1443,4036,4556","Introduction","Kazimierski Z., Wojewoda J.","Springer Tracts in Mechanical Engineering","Springer International Publishing","2016","10.1007/978-3-319-28355-5_1"
"2567","49","49","0","","Inverse homogenization using isogeometric shape optimization","Lüdeker J.K., Sigmund O., Kriegesmann B.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.113170"
"2568","48","47","1","2090","Investigating peak stresses in fitting and repair patches of buried polyethylene gas pipes","Khademi Zahedi R., Alimouri P., Khademi Zahedi H., Shishesaz M.","Frontiers of Structural and Civil Engineering","Higher Education Press","2020","10.1007/s11709-019-0587-6"
"2569","58","57","1","3058","Investigating relationships between cost and CO2 emissions in reinforced concrete structures using a BIM-based design optimisation approach","Eleftheriadis S., Duffour P., Greening P., James J., Stephenson B., Mumovic D.","Energy and Buildings","Elsevier Ltd","2018","10.1016/j.enbuild.2018.01.059"
"2570","108","108","0","","Investigating the crack initiation and propagation mechanism in brittle rocks using grain-based finite-discrete element method","Li X.F., Li H.B., Liu L.W., Liu Y.Q., Ju M.H., Zhao J.","International Journal of Rock Mechanics and Mining Sciences","Elsevier Ltd","2020","10.1016/j.ijrmms.2020.104219"
"2571","41","39","2","3713,4172","Investigating the influence of bonded and non-bonded interactions on the interfacial bonding between carbon nanotube and polymer","Rafiee R., Sharaei M.","Composite Structures","Elsevier Ltd","2020","10.1016/j.compstruct.2020.111996"
"2572","24","24","0","","Investigating the influence of delamination on the stiffness of composite pipes under compressive transverse loading using cohesive zone method","Maleki S., Rafiee R., Hasannia A., Habibagahi M.R.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-019-0555-1"
"2573","10","9","1","4556","Investigation and development of modified ross yoke mechanism on alpha-parallel-cylinder stirling engine","Kwankaomeng S.","Green Energy and Technology","Springer Verlag","2018","10.1007/978-981-10-7473-8_4"
"2574","129","121","7","4529,3049,3053,3066,3507,3063,4542,1455","Investigation and optimization of performance of nano-scale Stirling refrigerator using working fluid as Maxwell–Boltzmann gases","Ahmadi M.H., Amin Nabakhteh M., Ahmadi M.-A., Pourfayaz F., Bidi M.","Physica A: Statistical Mechanics and its Applications","Elsevier B.V.","2017","10.1016/j.physa.2017.04.079"
"2575","38","38","0","","Investigation and visualization of surfactant effect on flow pattern and performance of pulsating heat pipe","Gandomkar A., Kalan K., Vandadi M., Shafii M.B., Saidi M.H.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-019-08649-z"
"2576","48","48","0","","Investigation into the fracture mechanism and thermal conductivity of borophene nanofilm; a reactive molecular dynamics simulation","Abadi R., Jenabidehkordi A., Rabczuk T.","Computational Materials Science","Elsevier B.V.","2020","10.1016/j.commatsci.2020.109625"
"2577","60","60","0","","Investigation of Boron-Doped Graphdiyne as a Promising Anode Material for Sodium-Ion Batteries: A Computational Study","Gharehzadeh Shirazi S., Nasrollahpour M., Vafaee M.","ACS Omega","American Chemical Society","2020","10.1021/acsomega.0c00422"
"2578","58","58","0","","Investigation of Generalized SIFs of cracks in 3D piezoelectric media under various crack-face conditions","Rungamornrat J., Chansavang B., Phongtinnaboot W., Van C.N.","Frontiers of Structural and Civil Engineering","Higher Education Press","2020","10.1007/s11709-019-0586-7"
"2579","74","72","2","3139,2791","Investigation of Hydrothermal Behavior of Fe3O4-H2O Nanofluid Natural Convection in a Novel Shape of Porous Cavity Subjected to Magnetic Field Dependent (MFD) Viscosity","Molana M., Dogonchi A.S., Armaghani T., Chamkha A.J., Ganji D.D., Tlili I.","Journal of Energy Storage","Elsevier Ltd","2020","10.1016/j.est.2020.101395"
"2580","47","46","1","2616","Investigation of MHD Eyring-Powell fluid flow over a rotating disk under effect of homogeneous-heterogeneous reactions","Gholinia M., Hosseinzadeh Kh., Mehrzadi H., Ganji D.D., Ranjbar A.A.","Case Studies in Thermal Engineering","Elsevier Ltd","2019","10.1016/j.csite.2018.11.007"
"2581","41","41","0","","Investigation of Stability and Failure Mechanism of Undercut Slopes by Three-Dimensional Finite Element Analysis","Ukritchon B., Ouch R., Pipatpongsa T., Khosravi M.H.","KSCE Journal of Civil Engineering","Springer Verlag","2018","10.1007/s12205-017-2011-x"
"2582","33","33","0","","Investigation of Ti6Al4V and AA7075 alloy embedded nanofluid flow over longitudinal porous fin in the presence of internal heat generation and convective condition","Sowmya G., Gireesha B.J., Sindhu S., Prasannakumara B.C.","Communications in Theoretical Physics","Institute of Physics Publishing","2020","10.1088/1572-9494/ab6904"
"2583","41","41","0","","Investigation of Two-Dimensional Viscoelastic Fluid with Nonuniform Heat Generation over Permeable Stretching Sheet with Slip Condition","Rasheed H.U., Khan Z., Islam S., Khan I., Guirao J.L.G., Khan W.","Complexity","Hindawi Limited","2019","10.1155/2019/3121896"
"2584","58","57","1","4552","Investigation of a combined molten carbonate fuel cell, gas turbine and Stirling engine combined cooling heating and power (CCHP) process by exergy cost sensitivity analysis","Ansarinasab H., Mehrpooya M.","Energy Conversion and Management","Elsevier Ltd","2018","10.1016/j.enconman.2018.03.067"
"2585","41","41","0","","Investigation of concrete pavement cracking under multi-head impact loading via the continuum-discontinuum element method","Zhang Q., Zhi Z., Feng C., Cai Y., Pang G., Yue J.","International Journal of Impact Engineering","Elsevier Ltd","2020","10.1016/j.ijimpeng.2019.103410"
"2586","103","92","11","2406,3995,4730,3996,4003,2595,2331,2039,2318,3984,4492","Investigation of convective nanomaterial flow and exergy drop considering CVFEM within a porous tank","Alrobaian A.A., Alsagri A.S., Ali J.A., Hamad S.M., Shafee A., Nguyen T.K., Li Z.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-019-08564-3"
"2587","26","26","0","","Investigation of crack repair using piezoelectric material under thermo-mechanical loading","Kumar R., Singh A., Tiwari M.","Journal of Intelligent Material Systems and Structures","SAGE Publications Ltd","2020","10.1177/1045389X20943946"
"2588","49","48","1","3319","Investigation of double-diffusive mixed convection effect on the particles dissolution in the shear flow using coupled SPM–LBM","Safa R., Soltani Goharrizi A., Jafari S., Jahanshahi Javaran E.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-10019-z"
"2589","61","61","0","","Investigation of energy performance in a U-shaped evacuated solar tube collector using oxide added nanoparticles through the emitter, absorber and transmittal environments via discrete ordinates radiation method","Peng Y., Zahedidastjerdi A., Abdollahi A., Amindoust A., Bahrami M., Karimipour A., Goodarzi M.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-019-08684-w"
"2590","40","40","0","","Investigation of entropy generation in stratified MHD Carreau nanofluid with gyrotactic microorganisms under Von Neumann similarity transformations","Naz R., Tariq S., Sohail M., Shah Z.","European Physical Journal Plus","Springer","2020","10.1140/epjp/s13360-019-00069-0"
"2591","43","41","2","3133,1003","Investigation of heat pump-driven humidification–dehumidification desalination system with energy recovery option","Lawal D.U., Antar M.A.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09794-6"
"2592","115","103","12","1003,4003,2070,2595,3996,4069,2039,2318,2331,3995,2406,3984","Investigation of hybrid nanofluid migration within a porous closed domain","Manh T.D., Nam N.D., Abdulrahman G.K., Khan M.H., Tlili I., Shafee A., Shamlooei M., Nguyen-Thoi T.","Physica A: Statistical Mechanics and its Applications","Elsevier B.V.","2020","10.1016/j.physa.2019.123960"
"2593","49","48","1","945","Investigation of mixed convection in a cylindrical lid driven cavity filled with water-cu nanofluid","Niazmand A., Sola J.F., Alinejad F., Rahimidehgolan F.","Inventions","MDPI Multidisciplinary Digital Publishing Institute","2019","10.3390/inventions4040060"
"2594","37","37","0","","Investigation of mixture fluid suspended by hybrid nanoparticles over vertical cylinder by considering shape factor effect","Hosseinzadeh K., Asadi A., Mogharrebi A.R., Ermia Azari M., Ganji D.D.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09347-x"
"2595","26","26","0","","Investigation of nanofluid conduction heat transfer within a triplex tube considering solidification","Hedayat M., Sheikholeslami M., Shafee A., Nguyen-Thoi T., Henda M.B., Tlili I., Li Z.","Journal of Molecular Liquids","Elsevier B.V.","2019","10.1016/j.molliq.2019.111232"
"2596","103","84","19","3446,2384,3913,3988,1446,3334,2517,2331,1005,4644,3132,3913,3378,3125,4069,1003,2318,1669,2427","Investigation of nanomaterial flow through non-parallel plates","Manh T.D., Bahramkhoo M., Barzegar Gerdroodbary M., Nam N.D., Tlili I.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09352-0"
"2597","58","56","2","1863,3984","Investigation of physical aspects of cubic autocatalytic chemically reactive flow of second grade nanomaterial with entropy optimization","Alsaadi F.E., Hayat T., Khan S.A., Alsaadi F.E., Khan M.I.","Computer Methods and Programs in Biomedicine","Elsevier Ireland Ltd","2020","10.1016/j.cmpb.2019.105061"
"2598","50","48","2","3993,2750","Investigation of porous media effects on lithium-ion battery thermal management","Kaabinejadian A., Ahmadi H.A., Moghimi M.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09661-4"
"2599","20","17","3","2099,4236,1465","Investigation of regenerator matrix through figure of Merit analysis","Gheith R., Aloui F., Ben Nasrallah S.","ASME/JSME/KSME 2015 Joint Fluids Engineering Conference, AJKFluids 2015","American Society of Mechanical Engineers","2015","10.1115/AJKFluids201522087"
"2600","110","110","0","","Investigation of strain and doping on the electronic properties of single layers of C6N6and C6N8: A first principles study","Bafekry A., Nguyen C.V., Goudarzi A., Ghergherehchi M., Shafieirad M.","RSC Advances","Royal Society of Chemistry","2020","10.1039/d0ra04463f"
"2601","56","55","1","1028","Investigation of the J-integral and SIFs by block-based Galerkin free element method","Xu B.-B., Gao X.-W., Feng W.-Z., Cui M.","Theoretical and Applied Fracture Mechanics","Elsevier B.V.","2020","10.1016/j.tafmec.2020.102739"
"2602","22","22","0","","Investigation of the accuracy of different finite element model reduction techniques","Ghannadi P., Kourehli S.S.","Structural Monitoring and Maintenance","Techno Press","2018","10.12989/smm.2018.5.3.417"
"2603","53","49","4","3531,1910,3053,3627","Investigation of the effect of design parameters on power output and thermal efficiency of a Stirling engine by thermodynamic analysis","Ahmadi M.H., Ahmadi M.A., Mehrpooya M.","International Journal of Low-Carbon Technologies","Oxford University Press","2016","10.1093/ijlct/ctu030"
"2604","26","25","1","3625","Investigation of the effect of organic working fluids on thermodynamic performance of combined cycle stirling-ORC","Bahrami M., Hamidi A.A., Porkhial S.","International Journal of Energy and Environmental Engineering","Springer Verlag","2013","10.1186/2251-6832-4-12"
"2605","41","41","0","","Investigation of the effects of base fluid type of the nanofluid on heat pipe performance","Yilmaz Aydin D., Gürü M., Sözen A., Çiftçi E.","Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy","SAGE Publications Ltd","2020","10.1177/0957650920916285"
"2606","73","72","1","4162","Investigation of the interior RC beam-column joints under monotonic antisymmetrical load","Gao F., Tang Z., Hu B., Chen J., Zhu H., Ma J.","Frontiers of Structural and Civil Engineering","Higher Education Press","2019","10.1007/s11709-019-0572-0"
"2607","45","43","2","3995,1841","Investigation of the nanofluid convective flow and entropy generation within a microchannel heat sink involving magnetic field","Hosseini S.R., Sheikholeslami M.","Powder Technology","Elsevier B.V.","2019","10.1016/j.powtec.2019.04.022"
"2608","39","33","6","3616,3988,4003,1003,2318,2331","Investigation of the three-dimensional structure, pressure drop, and heat transfer characteristics of the thermohydraulic flow in a circular pipe with different twisted-tape geometrical configurations","Al-Obaidi A.R., Sharif A.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-019-09244-y"
"2609","51","50","1","4169","Investigation of the unbiased probabilistic behavior of the fiber-reinforced concrete's elastic moduli using stochastic micromechanical approach","Liu X.Z., Zhu H.H., Ju J.W., Chen Q., Jiang Z.W., Yan Z.G.","International Journal of Damage Mechanics","SAGE Publications Ltd","2020","10.1177/1056789520904007"
"2610","189","189","0","","Investigation of thermal characteristics of carbon nanotubes: Measurement and dependence","Tlili I., Alkanhal T.A., Barzinjy A.A., Dara R.N., Shafee A., Li Z.","Journal of Molecular Liquids","Elsevier B.V.","2019","10.1016/j.molliq.2019.111564"
"2611","56","45","11","1093,795,707,921,706,617,754,446,1013,4419,479","Investigation of thermal responses during metallic additive manufacturing using a “Tri-Prism” finite element method","Liu P., Cui X., Deng J., Li S., Li Z., Chen L.","International Journal of Thermal Sciences","Elsevier Masson SAS","2019","10.1016/j.ijthermalsci.2018.10.022"
"2612","71","55","16","613,3345,4070,2427,3747,3124,1003,3132,2318,3341,4756,2331,682,1788,4069,3990","Investigation of thermal treatment of hybrid nanoparticles in a domain with different permeabilities","Zuo H., Salahshoor Z., Yadav D., Hajizadeh M.R., Vuong B.X.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09824-3"
"2613","21","21","0","","Investigation of upper bound adaptive finite element method based on second-order cone programming and higher-order element [基于二阶锥规划与高阶单元的自适应上限有限元研究]","Sun R., Yang F., Yang J.-S., Zhao Y.-D., Zheng X.-C., Luo J.-J., Yao J.","Yantu Lixue/Rock and Soil Mechanics","Academia Sinica","2020","10.16285/j.rsm.2019.0065"
"2614","46","43","3","2763,2760,3140","Investigation on cnts-water and human blood based casson nanofluid flow over a stretching sheet under impact of magnetic field","Alkasasbeh H.T., Swalmeh M.Z., Bani Saeed H.G., Al Faqih F.M., Talafha A.G.","Frontiers in Heat and Mass Transfer","Global Digital Central","2020","10.5098/hmt.14.15"
"2615","46","42","4","4247,3449,3659,3653","Investigation on crack initiation and propagation in hydraulic fracturing of bedded shale by hybrid phase-field modeling","Liu J., Liang X., Xue Y., Fu Y., Yao K., Dou F.","Theoretical and Applied Fracture Mechanics","Elsevier B.V.","2020","10.1016/j.tafmec.2020.102651"
"2616","53","53","0","","Investigation on ethylene glycol Nano fluid flow over a vertical permeable circular cylinder under effect of magnetic field","Gholinia M., Gholinia S., Hosseinzadeh K., Ganji D.D.","Results in Physics","Elsevier B.V.","2018","10.1016/j.rinp.2018.04.070"
"2617","71","69","2","4040,3921","Investigation on hygro-thermal vibration of P-FG and symmetric S-FG nanobeam using integral Timoshenko beam theory","Matouk H., Bousahla A.A., Heireche H., Bourada F., Bedia E.A.A., Tounsi A., Mahmoud S.R., Tounsi A., Benrahou K.H.","Advances in Nano Research","Techno-Press","2020","10.12989/anr.2020.8.4.293"
"2618","57","56","1","535","Investigations on sloshing mitigation using elastic baffles by coupling smoothed finite element method and decoupled finite particle method","Zhang Z.L., Khalid M.S.U., Long T., Chang J.Z., Liu M.B.","Journal of Fluids and Structures","Academic Press","2020","10.1016/j.jfluidstructs.2020.102942"
"2619","41","40","1","3058","Invisible Poisoning: Highly Stealthy Targeted Poisoning Attack","Chen J., Zheng H., Su M., Du T., Lin C., Ji S.","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","Springer","2020","10.1007/978-3-030-42921-8_10"
"2620","45","45","0","","Irreversibility analysis in marangoni forced convection flow of second grade fluid","Khan S.A., Hayat T., Alsaedi A., Zaigham Zai Q.M.","Journal of Physics Communications","Institute of Physics Publishing","2020","10.1088/2399-6528/aba8db"
"2621","34","34","0","","Irreversibility analysis of dissipative fluid flow over a curved surface stimulated by variable thermal conductivity and uniform magnetic field: Utilization of Generalized Differential Quadrature Method","Afridi M.I., Wakif A., Qasim M., Hussanan A.","Entropy","MDPI AG","2018","10.3390/e20120943"
"2622","40","40","0","","Irreversibility analysis of hybrid nanofluid flow over a thin needle with effects of energy dissipation","Afridi M.I., Tlili I., Goodarzi M., Osman M., Khan N.A.","Symmetry","MDPI AG","2019","10.3390/sym11050663"
"2623","45","42","3","4708,1863,2871","Irreversibility aspects to flow of Sutterby fluid subject to nonlinear heat flux and Joule heating","Hayat T., Afzal S., Khan M.I., Alsaedi A.","Applied Nanoscience (Switzerland)","Springer Nature","2019","10.1007/s13204-019-01015-3"
"2624","95","85","10","2586,4069,2427,3125,1669,2331,2318,3726,3132,1003","Irreversibility of nanomaterial due to MHD via numerical approach","Balazadeh N., Shafee A., Tlili I.","Journal of Thermal Analysis and Calorimetry","Springer Netherlands","2020","10.1007/s10973-020-09548-4"
"2625","75","75","0","","Isogeometric Analysis of functionally graded porous plates reinforced by graphene platelets","Li K., Wu D., Chen X., Cheng J., Liu Z., Gao W., Liu M.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2018.07.059"
"2626","46","46","0","","Isogeometric Analysis of the Dual Boundary Element Method for the Laplace Problem with a Degenerate Boundary","Kao J.H., Chen K.H., Chen J.T., Kuo S.R.","Journal of Mechanics","Cambridge University Press","2020","10.1017/jmech.2019.18"
"2627","72","72","0","","Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems","Miao D., Zou Z., Scott M.A., Borden M.J., Thomas D.C.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.112900"
"2628","11","11","0","","Isogeometric FE Analysis of Laminated Composite Plates","Devi N., Bhar A., Pandey R.","Lecture Notes in Mechanical Engineering","Springer","2020","10.1007/978-981-15-0124-1_29"
"2629","16","16","0","","Isogeometric FE analysis of laminated composite and functionally graded CNT reinforced composite plates using HSDT","Singh A.Kr., Bhar A.","Materials Today: Proceedings","Elsevier Ltd","2019","10.1016/j.matpr.2020.01.129"
"2630","65","61","4","2643,2686,349,2660","Isogeometric FE-BE coupling approach for structural-acoustic interaction","Wu Y.H., Dong C.Y., Yang H.S.","Journal of Sound and Vibration","Academic Press","2020","10.1016/j.jsv.2020.115436"
"2631","62","62","0","","Isogeometric Stress, Vibration and Stability Analysis of In-Plane Laminated Composite Structures","Faroughi S., Shafei E., Schillinger D.","International Journal of Structural Stability and Dynamics","World Scientific Publishing Co. Pte Ltd","2018","10.1142/S0219455418500700"
"2632","55","53","2","2654,3823","Isogeometric analysis and design of variable-stiffness aircraft panels with multiple cutouts by level set method","Hao P., Liu C., Liu X., Yuan X., Wang B., Li G., Dong M., Chen L.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2018.08.086"
"2633","56","52","4","3250,2643,484,4027","Isogeometric analysis for non-classical Bernoulli-Euler beam model incorporating microstructure and surface energy effects","Yin S., Deng Y., Yu T., Gu S., Zhang G.","Applied Mathematical Modelling","Elsevier Inc.","2021","10.1016/j.apm.2020.07.015"
"2634","91","91","0","","Isogeometric analysis for surface PDEs with extended Loop subdivision","Pan Q., Rabczuk T., Xu G., Chen C.","Journal of Computational Physics","Academic Press Inc.","2019","10.1016/j.jcp.2019.108892"
"2635","66","62","4","2645,3249,4465,863","Isogeometric analysis of FG-CNTRC plates in combination with hybrid type higher-order shear deformation theory","Van Do V.N., Lee Y.-K., Lee C.-H.","Thin-Walled Structures","Elsevier Ltd","2020","10.1016/j.tws.2019.106565"
"2636","96","92","4","2643,3250,867,4031","Isogeometric analysis of functionally graded carbon nanotube reinforced composite nanoplates using modified couple stress theory","Thanh C.-L., Phung-Van P., Thai C.H., Nguyen-Xuan H., Abdel Wahab M.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2017.10.025"
"2637","19","19","0","","Isogeometric analysis of functionally graded plates based on a new polynomial displacement field","Nguyen T.N., Tran P., Ngo T.D.","Mechanics of Structures and Materials: Advancements and Challenges - Proceedings of the 24th Australasian Conference on the Mechanics of Structures and Materials, ACMSM24 2016","CRC Press/Balkem","2017",""
"2638","92","84","8","484,328,522,274,4031,2184,2644,870","Isogeometric analysis of functionally graded plates with a logarithmic higher order shear deformation theory","Zhu Y., Shi P., Kang Y., Cheng B.","Thin-Walled Structures","Elsevier Ltd","2019","10.1016/j.tws.2019.106234"
"2639","117","113","4","349,869,3910,2642","Isogeometric analysis of ice accretion on wind turbine blades","Johnson E.L., Hsu M.-C.","Computational Mechanics","Springer","2020","10.1007/s00466-020-01852-y"
"2640","90","82","8","1101,2191,4465,4028,3110,321,2184,484","Isogeometric analysis of in-plane functionally graded porous microplates using modified couple stress theory","Farzam A., Hassani B.","Aerospace Science and Technology","Elsevier Masson SAS","2019","10.1016/j.ast.2019.05.012"
"2641","45","45","0","","Isogeometric analysis of insoluble surfactant spreading on a thin film","Medina D., Valizadeh N., Samaniego E., Jerves A.X., Rabczuk T.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.113272"
"2642","53","53","0","","Isogeometric analysis of laminated composite and functionally graded sandwich plates based on a layerwise displacement theory","Liu N., Jeffers A.E.","Composite Structures","Elsevier Ltd","2017","10.1016/j.compstruct.2017.05.037"
"2643","63","62","1","349","Isogeometric analysis of large-deformation thin shells using RHT-splines for multiple-patch coupling","Nguyen-Thanh N., Zhou K., Zhuang X., Areias P., Nguyen-Xuan H., Bazilevs Y., Rabczuk T.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2017","10.1016/j.cma.2016.12.002"
"2644","41","39","2","4027,4031","Isogeometric analysis of size-dependent isotropic and sandwich functionally graded microplates based on modified strain gradient elasticity theory","Thai C.H., Ferreira A.J.M., Nguyen-Xuan H.","Composite Structures","Elsevier Ltd","2018","10.1016/j.compstruct.2018.02.060"
"2645","67","67","0","","Isogeometric analysis of the effect of CNT orientation on the static and vibration behaviors of CNT-reinforced skew composite plates","Memar Ardestani M., Zhang L.W., Liew K.M.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2017","10.1016/j.cma.2016.12.009"
"2646","48","48","0","","Isogeometric analysis of the new integral formula for elastic energy change of heterogeneous materials","Sun D.Y., Dong C.Y.","Journal of Computational and Applied Mathematics","Elsevier B.V.","2021","10.1016/j.cam.2020.113106"
"2647","47","47","0","","Isogeometric analysis of thin Reissner–Mindlin shells: locking phenomena and B-bar method","Hu Q., Xia Y., Natarajan S., Zilian A., Hu P., Bordas S.P.A.","Computational Mechanics","Springer","2020","10.1007/s00466-020-01821-5"
"2648","53","52","1","4196","Isogeometric analysis with C1 hierarchical functions on planar two-patch geometries","Bracco C., Giannelli C., Kapl M., Vázquez R.","Computers and Mathematics with Applications","Elsevier Ltd","2020","10.1016/j.camwa.2020.03.018"
"2649","60","59","1","3950","Isogeometric boundary element analysis and shape optimization by PSO for 3D axi-symmetric high frequency Helmholtz acoustic problems","Shaaban A.M., Anitescu C., Atroshchenko E., Rabczuk T.","Journal of Sound and Vibration","Academic Press","2020","10.1016/j.jsv.2020.115598"
"2650","50","50","0","","Isogeometric boundary element analysis for two-dimensional thermoelasticity with variable temperature","Fang W., An Z., Yu T., Bui T.Q.","Engineering Analysis with Boundary Elements","Elsevier Ltd","2020","10.1016/j.enganabound.2019.10.003"
"2651","12","12","0","","Isogeometric boundary element analysis of underground excavations","Duenser C., Beer G., Marussig B.","Proceedings of the 6th European Conference on Computational Mechanics: Solids, Structures and Coupled Problems, ECCM 2018 and 7th European Conference on Computational Fluid Dynamics, ECFD 2018","International Centre for Numerical Methods in Engineering, CIMNE","2020",""
"2652","44","44","0","","Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications","Taus M., Rodin G.J., Hughes T.J.R., Scott M.A.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2019","10.1016/j.cma.2019.112591"
"2653","44","43","1","2642","Isogeometric boundary integral formulation for Reissner’s plate problems","Abdelmoety A.K., Naga T.H.A., Rashed Y.F.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2020","10.1108/EC-11-2018-0507"
"2654","62","62","0","","Isogeometric buckling analysis of composite variable-stiffness panels","Hao P., Yuan X., Liu H., Wang B., Liu C., Yang D., Zhan S.","Composite Structures","Elsevier Ltd","2017","10.1016/j.compstruct.2017.01.016"
"2655","71","69","2","1551,2643","Isogeometric cohesive zone model for thin shell delamination analysis based on Kirchhoff-Love shell model","Thai T.Q., Rabczuk T., Zhuang X.","Frontiers of Structural and Civil Engineering","Higher Education Press","2020","10.1007/s11709-019-0567-x"
"2656","41","41","0","","Isogeometric collocation on planar multi-patch domains","Kapl M., Vitrih V.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2019.112684"
"2657","81","74","7","349,721,1371,2643,2648,2656,4196","Isogeometric continuity constraints for multi-patch shells governed by fourth-order deformation and phase field models","Paul K., Zimmermann C., Duong T.X., Sauer R.A.","Computer Methods in Applied Mechanics and Engineering","Elsevier B.V.","2020","10.1016/j.cma.2020.113219"
"2658","73","67","3","4785,2191,4779,4603,3112,3109","Isogeometric free vibration of sector cylindrical shells with carbon nanotubes reinforced and functionally graded materials","Zhang Y., Jin G., Chen M., Ye T., Liu Z.","Results in Physics","Elsevier B.V.","2020","10.1016/j.rinp.2019.102889"
"2659","75","71","4","3249,239,2636,870","Isogeometric independent coefficients method for fast reanalysis of structural modifications","Ding C.","Engineering Computations (Swansea, Wales)","Emerald Group Publishing Ltd.","2019","10.1108/EC-03-2019-0121"
"2660","71","70","1","2017","Isogeometric indirect boundary element method for solving the 3D acoustic problems","Wu Y.H., Dong C.Y., Yang H.S.","Journal of Computational and Applied Mathematics","Elsevier B.V.","2020","10.1016/j.cam.2019.06.013"
